[2025-05-28 10:00:01,149 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=8)
[2025-05-28 10:00:01,149 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=9
[2025-05-28 10:00:01,170 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=9
[2025-05-28 10:00:01,351 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=9)
[2025-05-28 10:00:01,351 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=10
[2025-05-28 10:00:01,373 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=10
[2025-05-28 10:00:01,615 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=10)
[2025-05-28 10:00:01,615 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=11
[2025-05-28 10:00:01,637 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=11
[2025-05-28 10:00:01,758 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=11)
[2025-05-28 10:00:01,758 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=12
[2025-05-28 10:00:01,798 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=12
[2025-05-28 10:00:01,909 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=12)
[2025-05-28 10:00:01,909 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=13
[2025-05-28 10:00:01,910 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=14
[2025-05-28 10:00:01,932 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=14
[2025-05-28 10:00:02,053 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=14)
[2025-05-28 10:00:02,053 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=15
[2025-05-28 10:00:02,079 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=15
[2025-05-28 10:00:02,321 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=15)
[2025-05-28 10:00:02,322 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=16
[2025-05-28 10:00:02,346 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=16
[2025-05-28 10:00:03,191 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=16)
[2025-05-28 10:00:03,191 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=17
[2025-05-28 10:00:03,212 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=17
[2025-05-28 10:00:03,444 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=17)
[2025-05-28 10:00:03,444 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=18
[2025-05-28 10:00:03,465 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=18
[2025-05-28 10:00:03,697 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=18)
[2025-05-28 10:00:03,697 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=19
[2025-05-28 10:00:03,698 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=20
[2025-05-28 10:00:03,719 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=20
[2025-05-28 10:00:04,504 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=20)
[2025-05-28 10:00:04,504 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=21
[2025-05-28 10:00:04,526 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=21
[2025-05-28 10:00:05,221 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=21)
[2025-05-28 10:00:05,221 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=22
[2025-05-28 10:00:05,241 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=22
[2025-05-28 10:00:05,342 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=22)
[2025-05-28 10:00:05,342 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=23
[2025-05-28 10:00:05,363 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=23
[2025-05-28 10:00:05,967 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=23)
[2025-05-28 10:00:05,967 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=24
[2025-05-28 10:00:05,987 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=24
[2025-05-28 10:00:06,239 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=24)
[2025-05-28 10:00:06,239 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=25
[2025-05-28 10:00:06,260 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=25
[2025-05-28 10:00:06,693 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=25)
[2025-05-28 10:00:06,693 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=26
[2025-05-28 10:00:06,693 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=27
[2025-05-28 10:00:06,714 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=27
[2025-05-28 10:00:07,077 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=27)
[2025-05-28 10:00:07,077 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=28
[2025-05-28 10:00:07,097 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=28
[2025-05-28 10:00:07,189 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=28)
[2025-05-28 10:00:07,189 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=29
[2025-05-28 10:00:07,209 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=29
[2025-05-28 10:00:07,370 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=29)
[2025-05-28 10:00:07,370 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=30
[2025-05-28 10:00:07,391 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=30
[2025-05-28 10:00:07,565 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=30)
[2025-05-28 10:00:07,565 INFO server]: [Server] Computing global log prob. Iteration no: 1, walker=31
[2025-05-28 10:00:07,586 INFO server]: [Server] Published ProposedTheta event. Iteration no: 1, walker=31
[2025-05-28 10:00:07,828 INFO server]: [Server] Collected all likelihoods for (iter=1,walker=31)
[2025-05-28 10:00:08,922 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=0
[2025-05-28 10:00:08,923 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=1
[2025-05-28 10:00:08,924 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=2
[2025-05-28 10:00:08,925 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=3
[2025-05-28 10:00:08,926 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=4
[2025-05-28 10:00:08,926 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=5
[2025-05-28 10:00:08,927 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=6
[2025-05-28 10:00:08,928 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=7
[2025-05-28 10:00:08,929 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=8
[2025-05-28 10:00:08,930 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=9
[2025-05-28 10:00:08,930 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=10
[2025-05-28 10:00:08,931 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=11
[2025-05-28 10:00:08,932 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=12
[2025-05-28 10:00:08,953 INFO server]: [Server] Published ProposedTheta event. Iteration no: 2, walker=12
[2025-05-28 10:00:09,124 INFO server]: [Server] Collected all likelihoods for (iter=2,walker=12)
[2025-05-28 10:00:09,124 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=13
[2025-05-28 10:00:09,125 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=14
[2025-05-28 10:00:09,126 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=15
[2025-05-28 10:00:09,131 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=16
[2025-05-28 10:00:09,131 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=17
[2025-05-28 10:00:09,132 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=18
[2025-05-28 10:00:09,133 INFO server]: [Server] Computing global log prob. Iteration no: 2, walker=19
